P_um,N,I_b_nA,fill,rms_nm,p99_nm,max_nm,mean_nm,n_eval
1.0,316,10.0,1.0,27173.895461451146,37446.26566935546,37764.89837612583,25620.50319295116,400
1.0,316,10.0,0.7,19032.680048209997,26260.500188588532,26590.786632623836,17947.48282693017,4000
1.0,316,10.0,0.5,13566.777686338788,18729.192249162435,19011.860285743554,12792.94700223206,4000
2.0,32,1.0,1.0,137.08450833794777,184.94987662468583,184.96123739441464,129.63837696959325,400
2.0,32,1.0,0.7,96.83259205280406,134.49566489444797,140.30207130658576,91.7380466081947,4000
2.0,32,1.0,0.5,69.2556792441786,99.10157783370786,103.68662660846167,65.54018792059995,4000
2.0,32,5.0,1.0,678.0453871373552,924.7493831234298,924.8061869720716,640.1289210127162,400
2.0,32,5.0,0.7,471.28522423851274,659.716485272794,693.6262965436777,444.50920244747397,4000
2.0,32,5.0,0.5,341.2241830620992,491.006006514307,518.1235806316314,321.4758371607072,4000
2.0,32,10.0,1.0,1375.9232324802185,1849.612373944142,1849.612373944143,1300.6245265062762,400
2.0,32,10.0,0.7,957.8198644018457,1327.9701339355067,1375.235305363168,904.9653392888723,4000
2.0,32,10.0,0.5,692.9226378377606,982.3521921220959,1045.1452479279776,655.324974368226,4000
2.0,100,1.0,1.0,426.7443851933076,591.3135423352414,592.7696203867624,403.6929118175426,400
2.0,100,1.0,0.7,298.8888326512277,414.84575596709493,424.2048791904594,282.7484540032779,4000
2.0,100,1.0,0.5,213.4392625727171,296.7952781743884,306.12336380206386,201.8465069103101,4000
2.0,100,5.0,1.0,2142.056081296163,2954.541166212271,2963.8481019337937,2022.263193305651,400
2.0,100,5.0,0.7,1501.6913095758678,2074.2910003893594,2119.426330843773,1418.543340105069,4000
2.0,100,5.0,0.5,1072.719629902911,1496.3807535747721,1547.650986308591,1012.9942644722319,4000
2.0,100,10.0,1.0,4270.938896836761,5927.099993544179,5927.696203867587,4025.7749639885624,400
2.0,100,10.0,0.7,2981.4425012584293,4174.717640627861,4244.800687318574,2808.356546721035,4000
2.0,100,10.0,0.5,2135.741020745467,2992.0015167023184,3082.5461621668132,2013.185817955661,4000
2.0,316,1.0,1.0,1324.0706622549112,1851.9737954306702,1888.2449188063076,1240.7500899283802,400
2.0,316,1.0,0.7,927.6846436396311,1302.34295569353,1333.8895073606934,869.3499830072446,4000
2.0,316,1.0,0.5,662.730691097791,930.3970016273175,955.4992461709279,621.015377646082,4000
2.0,316,5.0,1.0,6653.931994076821,9420.784447363274,9441.224594031457,6275.84233682492,400
2.0,316,5.0,0.7,4653.115377769623,6588.447452914743,6641.644623016146,4389.170671870452,4000
2.0,316,5.0,0.5,3325.387258382295,4707.65645502856,4773.3548659727485,3136.8115660895696,4000
2.0,316,10.0,1.0,13687.426673718359,18669.419064627302,18882.449188062914,13051.842646141326,400
2.0,316,10.0,0.7,9583.94968849746,13061.031953000496,13253.452625454616,9139.932116176285,4000
2.0,316,10.0,0.5,6842.7158483813,9312.058281997364,9490.958910778912,6526.416039185768,4000
5.0,32,1.0,1.0,54.2559826910046,73.97995064987451,73.98449495776586,51.168769263787496,400
5.0,32,1.0,0.7,37.74053248262999,53.225848437357726,55.22499066671784,35.5731216651723,4000
